Firmenname,Website,Kontakt Telefon,Kontakt E-Mail,Score (/100),Qualified,Nimmt an Ausschreibungen teil,Schreibt Ausschreibungen auf Website,Beweis Teilnahme,Beweis Ausschreibungen auf Website,Meinung / Anmerkungen
GEODIS CL Germany GmbH,https://geodis.com/de-de,+49 221 126151 7254,null,50,Ja,Ja,Ja,"GEODIS bietet eine Vielzahl von Logistikdienstleistungen an, darunter Kontraktlogistik, Luft- und Seefracht sowie Landverkehr. Diese Dienstleistungen deuten darauf hin, dass GEODIS regelmäßig an Ausschreibungen teilnimmt, um Aufträge in diesen Bereichen zu erhalten. (https://geodis.com/de-de/standortsuche-0)","Auf der GEODIS-Website gibt es ein Kontaktformular, über das potenzielle Kunden ihre Anforderungen für Logistikdienstleistungen einreichen können. Dies weist darauf hin, dass GEODIS Ausschreibungen oder Angebote über ihre Website entgegennimmt. (https://geodis.com/de-de/kontaktieren-sie-uns)","GEODIS CL Germany GmbH ist ein etablierter Logistikdienstleister mit einer breiten Palette von Dienstleistungen. Die vorhandenen Hinweise auf Ausschreibungsaktivitäten und die Möglichkeit, über die Website Angebote einzureichen, machen das Unternehmen zu einem potenziellen Kandidaten für BidFit. Es wäre jedoch sinnvoll, weitere Informationen zu sammeln, um die spezifischen Prozesse und Anforderungen von GEODIS besser zu verstehen."
CTP Invest,https://ctp.eu,null,null,0,Nein,keine Info,keine Info,keine Info,keine Info,"CTP Invest ist ein Immobilienentwickler und -verwalter, der sich auf Gewerbeimmobilien spezialisiert hat. Es liegen keine spezifischen Informationen vor, die auf eine aktive Teilnahme an Ausschreibungen oder die Veröffentlichung eigener Ausschreibungen auf der Website hindeuten. Daher ist eine Bewertung der Relevanz für BidFit nicht möglich."
Geodis,https://geodis.com,null,null,50,Ja,Ja,Ja,GEODIS bietet auf seiner Website Informationen zu Ausschreibungen und Vergabeverfahren an (https://geodis.com/de-de/beschaffung).,GEODIS veröffentlicht Ausschreibungen auf seiner Website (https://geodis.com/de-de/beschaffung).,GEODIS ist ein globaler Logistikdienstleister mit umfangreicher Erfahrung in Ausschreibungen und Vergabeverfahren. Die Bereitstellung von Ausschreibungsinformationen auf ihrer Website deutet auf eine aktive Teilnahme an Ausschreibungen hin.
Vanderlande Logistics,https://www.vanderlande.com,+31 (0) 413 49 49 49,info@vanderlande.com,50,Ja,Ja,Ja,"Vanderlande bietet auf seiner Website Informationen für Lieferanten an, einschließlich Bedingungen für den Einkauf von Waren und Dienstleistungen sowie Verpackungs- und Versandvorschriften, was auf eine aktive Teilnahme an Ausschreibungen hindeutet. (https://www.vanderlande.com/airport-logistics/supplier-information-vanderlande-logistics/)","Die Website von Vanderlande enthält einen Abschnitt mit Lieferanteninformationen, der Bedingungen für den Einkauf von Waren und Dienstleistungen sowie Verpackungs- und Versandvorschriften bereitstellt, was auf die Veröffentlichung eigener Ausschreibungen hindeutet. (https://www.vanderlande.com/airport-logistics/supplier-information-vanderlande-logistics/)",Vanderlande ist ein globaler Anbieter von Logistiklösungen und zeigt durch die Bereitstellung von Lieferanteninformationen auf seiner Website eine aktive Teilnahme an Ausschreibungen sowie die Veröffentlichung eigener Ausschreibungen. Daher ist das Unternehmen für BidFit qualifiziert.
EXWAY Logistics GmbH,keine Info,keine Info,keine Info,0,Nein,keine Info,keine Info,keine Info,keine Info,JSON-Fehler: Expecting value: line 1 column 1 (char 0)
DEUTZ AG,https://career.deutz.com/?locale=en_US,keine Info,keine Info,0,Nein,keine Info,keine Info,keine Info,keine Info,JSON-Fehler: Expecting value: line 1 column 1 (char 0)
REICHHART Logistik-Gruppe,https://www.reichhart.eu,089 89 89 89 0,info@reichhart.eu,50,Ja,Ja,Ja,"REICHHART Logistik hat den Zuschlag für ein Projekt in Algerien erhalten, was auf aktive Teilnahme an Ausschreibungen hindeutet. (https://www.reichhart.eu/newsroom/nachricht/reichhart-logistik-gewinnt-purem-by-eberspaecher-projekt-in-algerien.html)","Die Karriereseite von REICHHART Logistik enthält Stellenangebote, was auf interne Ausschreibungen hindeutet. (https://www.reichhart.eu/karriere.html)",REICHHART Logistik ist ein mittelständisches Unternehmen mit nachgewiesener Erfahrung in der Teilnahme an Ausschreibungen und der Veröffentlichung eigener Ausschreibungen. Die Nutzung von BidFit könnte zur Effizienzsteigerung in ihren Ausschreibungsprozessen beitragen.
Mercury Engineering,https://www.mercuryeng.com/,+353 1 216 3000,keine Info,50,Ja,Ja,Nein,Firmenwebsite listet öffentliche Ausschreibungen als Kernleistung (https://www.mercuryeng.com/services/),keine Info,"Mercury Engineering ist ein führendes Unternehmen im Bereich der Bau- und Ingenieurdienstleistungen und nimmt aktiv an Ausschreibungen teil. Allerdings veröffentlicht es keine eigenen Ausschreibungen auf seiner Website, was die Relevanz für BidFit einschränkt."
van Eupen Logistics GmbH & Co. KG,https://vaneupen.com/,keine Info,keine Info,0,Nein,keine Info,keine Info,keine Info,keine Info,JSON-Fehler: Expecting value: line 1 column 1 (char 0)
Seifert Logistics GmbH,https://www.seifert-logistics.com/,+49 (0) 731 / 40 00 - 0,info@seifert-logistics.com,50,Ja,Ja,Keine Info,Stellenanzeige für Projektmanager Kontraktlogistik im Bereich Kalkulation (https://www.seifert-logistics.com/de/karriere/stellenangebote/),Keine Ausschreibungen auf der Website gefunden,"Seifert Logistics Group ist ein etabliertes Logistikunternehmen mit über 3.500 Mitarbeitern und mehr als 45 Standorten. Die Stellenanzeige für einen Projektmanager im Bereich Kalkulation deutet auf interne Ausschreibungsprozesse hin. Es liegen jedoch keine Informationen vor, ob das Unternehmen selbst Ausschreibungen veröffentlicht oder an externen Ausschreibungen teilnimmt."
